,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price
8825,6,1,44,86,54,408,0.0,140
8826,7,1,44,86,54,408,87.1,140
8827,8,1,44,86,54,408,100.0,140
8828,9,1,44,86,54,408,100.0,140
8829,10,1,44,86,54,408,9.68,120
8830,11,1,44,86,54,408,0.0,120
8831,12,1,44,86,54,408,0.0,120
8832,1,1,7,94,54,408,100.0,299
8833,2,1,7,94,54,408,78.57,299
8834,3,1,7,94,54,408,100.0,299
8835,4,1,7,94,54,408,100.0,299
8836,5,1,7,94,54,408,67.74,299
8837,6,1,7,94,54,408,100.0,299
8838,7,1,7,94,54,408,12.9,299
8839,8,1,7,94,54,408,0.0,299
8840,9,1,7,94,54,408,0.0,299
8841,10,1,7,94,54,408,0.0,299
8842,11,1,7,94,54,408,0.0,299
8843,12,1,7,94,54,408,0.0,299
8844,1,1,6,93,54,408,93.1,125
8845,2,1,6,93,54,408,67.86,125
8846,3,1,6,93,54,408,100.0,125
8847,4,1,6,93,54,408,50.0,62
8848,5,1,6,93,54,408,100.0,125
8849,6,1,6,93,54,408,86.67,130
8850,7,1,6,93,54,408,100.0,125
8851,8,1,6,93,54,408,80.65,130
8852,9,1,6,93,54,408,100.0,125
8853,10,1,6,93,54,408,100.0,125
8854,11,1,6,93,54,408,100.0,125
8855,12,1,6,93,54,408,58.06,130
8856,2,1,48,95,54,408,50.0,96
8857,9,1,48,95,54,408,100.0,250
8858,10,1,48,95,54,408,93.55,250
8859,11,1,48,95,54,408,83.33,270
8860,12,1,48,95,54,408,38.71,270
8861,1,1,43,88,54,408,72.41,200
8862,2,1,43,88,54,408,21.43,125
8863,3,1,43,88,54,408,100.0,150
8864,4,1,43,88,54,408,83.33,150
8865,5,1,43,88,54,408,45.16,150
8866,6,1,43,88,54,408,100.0,150
8867,7,1,43,88,54,408,35.48,150
8868,8,1,43,88,54,408,16.13,150
8869,9,1,43,88,54,408,100.0,150
8870,10,1,43,88,54,408,100.0,150
8871,11,1,43,88,54,408,100.0,150
8872,12,1,43,88,54,408,64.52,150
8873,1,1,2,100,54,408,96.67,135
8874,2,1,2,100,54,408,42.86,135
8875,3,1,2,100,54,408,0.0,145
8876,4,1,2,100,54,408,0.0,145
8877,5,1,2,100,54,408,0.0,135
8878,6,1,2,100,54,408,100.0,145
8879,7,1,2,100,54,408,3.23,145
8880,8,1,2,100,54,408,0.0,145
8881,9,1,2,100,54,408,100.0,145
8882,10,1,2,100,54,408,100.0,175
8883,11,1,2,100,54,408,100.0,175
8884,12,1,2,100,54,408,90.32,175
8885,1,1,6,96,54,408,61.29,130
8886,2,1,6,96,54,408,92.86,130
8887,3,1,6,96,54,408,90.32,130
8888,4,1,6,96,54,408,100.0,130
8889,5,1,6,96,54,408,100.0,130
8890,6,1,6,96,54,408,100.0,130
8891,7,1,6,96,54,408,100.0,130
8892,8,1,6,96,54,408,100.0,130
8893,9,1,6,96,54,408,100.0,130
8894,10,1,6,96,54,408,9.68,130
8895,11,1,6,96,54,408,63.33,130
8896,12,1,6,96,54,408,38.71,130
8897,1,1,30,84,54,408,36.67,110
8898,2,1,30,84,54,408,0.0,125
8899,3,1,30,84,54,408,45.16,100
8900,4,1,30,84,54,408,63.33,180
8901,5,1,30,84,54,408,22.58,180
8902,6,1,30,84,54,408,83.33,190
8903,7,1,30,84,54,408,41.94,190
8904,8,1,30,84,54,408,0.0,190
8905,9,1,30,84,54,408,86.67,190
8906,10,1,30,84,54,408,90.32,190
8907,11,1,30,84,54,408,50.0,74
8908,12,1,30,84,54,408,58.06,190
8909,1,1,38,94,54,408,70.0,169
8910,2,1,38,94,54,408,0.0,145
8911,3,1,38,94,54,408,87.1,175
8912,4,1,38,94,54,408,53.33,175
8913,5,1,38,94,54,408,9.68,175
8914,6,1,38,94,54,408,86.67,175
8915,7,1,38,94,54,408,38.71,155
8916,8,1,38,94,54,408,35.48,169
8917,9,1,38,94,54,408,80.0,234
8918,10,1,38,94,54,408,90.32,233
8919,11,1,38,94,54,408,100.0,183
8920,12,1,38,94,54,408,9.68,183
8921,1,1,34,93,54,408,3.33,178
8922,2,1,34,93,54,408,0.0,248
8923,3,1,34,93,54,408,100.0,289
8924,4,1,34,93,54,408,100.0,289
8925,5,1,34,93,54,408,3.23,289
8926,6,1,34,93,54,408,66.67,299
8927,7,1,34,93,54,408,90.32,299
8928,8,1,34,93,54,408,90.32,299
8929,9,1,34,93,54,408,73.33,299
8930,10,1,34,93,54,408,100.0,299
8931,11,1,34,93,54,408,70.0,299
8932,12,1,34,93,54,408,41.94,299
8933,1,1,3,67,54,408,96.67,333
8934,2,1,3,67,54,408,100.0,178
8935,3,1,3,67,54,408,100.0,178
8936,4,1,3,67,54,408,93.33,333
8937,5,1,3,67,54,408,35.48,222
8938,6,1,3,67,54,408,100.0,55
8939,7,1,3,67,54,408,74.19,222
8940,8,1,3,67,54,408,9.68,222
8941,9,1,3,67,54,408,100.0,178
8942,10,1,3,67,54,408,100.0,178
8943,11,1,3,67,54,408,96.67,178
8944,12,1,3,67,54,408,41.94,178
8945,1,1,12,95,54,408,0.0,260
8946,2,1,12,95,54,408,0.0,210
8947,3,1,12,95,54,408,0.0,210
8948,4,1,12,95,54,408,0.0,210
8949,5,1,12,95,54,408,0.0,210
8950,6,1,12,95,54,408,26.67,248
8951,7,1,12,95,54,408,0.0,248
8952,8,1,12,95,54,408,0.0,248
8953,9,1,12,95,54,408,100.0,210
8954,10,1,12,95,54,408,100.0,210
8955,11,1,12,95,54,408,100.0,210
8956,12,1,12,95,54,408,100.0,210
8957,1,1,38,92,54,408,75.86,190
8958,2,1,38,92,54,408,57.14,190
8959,3,1,38,92,54,408,96.77,180
8960,4,1,38,92,54,408,90.0,180
8961,5,1,38,92,54,408,87.1,180
8962,6,1,38,92,54,408,93.33,170
8963,7,1,38,92,54,408,80.65,170
8964,8,1,38,92,54,408,80.65,170
8965,9,1,38,92,54,408,96.67,200
8966,10,1,38,92,54,408,100.0,200
8967,11,1,38,92,54,408,96.67,200
8968,12,1,38,92,54,408,87.1,200
8969,9,1,15,83,54,408,16.67,100
8970,1,1,13,92,54,408,0.0,164
8971,2,1,13,92,54,408,0.0,160
8972,3,1,13,92,54,408,29.03,160
8973,4,1,13,92,54,408,63.33,160
