,month,bedrooms,number_of_reviews,review_scores_rating,neighborhood,num_comp,occ%,avg_price,neighborhood2
303,8,1,9,93,Williamsburg,1248,100.0,180,71
304,9,1,9,93,Williamsburg,1248,40.0,180,71
305,10,1,9,93,Williamsburg,1248,100.0,180,71
306,11,1,9,93,Williamsburg,1248,83.33,180,71
307,12,1,9,93,Williamsburg,1248,54.84,180,71
308,1,1,85,96,Williamsburg,1248,50.0,87,71
309,2,1,85,96,Williamsburg,1248,51.72,76,71
310,3,1,85,96,Williamsburg,1248,29.03,160,71
311,4,1,85,96,Williamsburg,1248,90.0,170,71
312,5,1,85,96,Williamsburg,1248,80.65,160,71
313,6,1,85,96,Williamsburg,1248,83.33,160,71
314,7,1,85,96,Williamsburg,1248,90.32,170,71
315,8,1,85,96,Williamsburg,1248,80.65,170,71
316,9,1,85,96,Williamsburg,1248,63.33,170,71
317,10,1,85,96,Williamsburg,1248,90.32,160,71
318,11,1,85,96,Williamsburg,1248,43.33,160,71
319,12,1,85,96,Williamsburg,1248,67.74,160,71
320,1,1,8,89,Williamsburg,1248,96.67,245,71
321,2,1,8,89,Williamsburg,1248,100.0,245,71
322,3,1,8,89,Williamsburg,1248,100.0,245,71
323,4,1,8,89,Williamsburg,1248,83.33,122,71
324,5,1,8,89,Williamsburg,1248,90.32,122,71
325,6,1,8,89,Williamsburg,1248,70.0,122,71
326,7,1,8,89,Williamsburg,1248,61.29,245,71
327,8,1,8,89,Williamsburg,1248,70.97,245,71
328,9,1,8,89,Williamsburg,1248,0.0,254,71
329,10,1,8,89,Williamsburg,1248,100.0,122,71
330,11,1,8,89,Williamsburg,1248,80.0,122,71
331,12,1,8,89,Williamsburg,1248,67.74,122,71
332,1,1,13,95,Williamsburg,1248,26.67,159,71
333,7,1,13,95,Williamsburg,1248,93.55,189,71
334,8,1,13,95,Williamsburg,1248,83.87,189,71
335,9,1,13,95,Williamsburg,1248,3.33,189,71
336,11,1,13,95,Williamsburg,1248,33.33,159,71
337,1,1,21,92,Williamsburg,1248,0.0,132,71
338,2,1,21,92,Williamsburg,1248,3.45,133,71
339,3,1,21,92,Williamsburg,1248,0.0,149,71
340,4,1,21,92,Williamsburg,1248,100.0,128,71
341,5,1,21,92,Williamsburg,1248,100.0,128,71
342,6,1,21,92,Williamsburg,1248,100.0,128,71
343,7,1,21,92,Williamsburg,1248,83.87,137,71
344,8,1,21,92,Williamsburg,1248,100.0,137,71
345,9,1,21,92,Williamsburg,1248,100.0,137,71
346,10,1,21,92,Williamsburg,1248,96.77,124,71
347,11,1,21,92,Williamsburg,1248,100.0,124,71
348,12,1,21,92,Williamsburg,1248,100.0,124,71
349,1,1,49,91,Williamsburg,1248,0.0,150,71
350,2,1,49,91,Williamsburg,1248,65.52,150,71
351,3,1,49,91,Williamsburg,1248,51.61,150,71
352,4,1,49,91,Williamsburg,1248,46.67,150,71
353,5,1,49,91,Williamsburg,1248,100.0,190,71
354,6,1,49,91,Williamsburg,1248,80.0,190,71
355,7,1,49,91,Williamsburg,1248,6.45,190,71
