,neighborhood,month,bedrooms,area,sub_area,max_price,min_price,median_price,mean_price
329,Brownsville,6,0,Brooklyn,Brooklyn,112,112,112,112
330,Brownsville,7,0,Brooklyn,Brooklyn,99,99,99,99
331,Brownsville,8,0,Brooklyn,Brooklyn,99,99,99,99
332,Brownsville,9,0,Brooklyn,Brooklyn,99,99,99,99
333,Brownsville,10,0,Brooklyn,Brooklyn,99,99,99,99
334,Brownsville,11,0,Brooklyn,Brooklyn,99,99,99,99
335,Brownsville,12,0,Brooklyn,Brooklyn,99,99,99,99
336,Bushwick,1,0,Brooklyn,Brooklyn,200,55,92,101
337,Bushwick,1,1,Brooklyn,Brooklyn,199,65,100,113
338,Bushwick,1,2,Brooklyn,Brooklyn,200,102,139,144
339,Bushwick,1,3,Brooklyn,Brooklyn,306,105,150,181
340,Bushwick,1,4,Brooklyn,Brooklyn,221,221,221,221
341,Bushwick,2,0,Brooklyn,Brooklyn,200,58,99,109
342,Bushwick,2,1,Brooklyn,Brooklyn,295,60,108,120
343,Bushwick,2,2,Brooklyn,Brooklyn,205,95,137,145
344,Bushwick,2,3,Brooklyn,Brooklyn,300,93,160,191
345,Bushwick,2,4,Brooklyn,Brooklyn,253,253,253,253
346,Bushwick,3,0,Brooklyn,Brooklyn,150,79,99,111
347,Bushwick,3,1,Brooklyn,Brooklyn,199,60,110,118
348,Bushwick,3,2,Brooklyn,Brooklyn,229,95,148,153
349,Bushwick,3,3,Brooklyn,Brooklyn,350,160,220,238
350,Bushwick,3,4,Brooklyn,Brooklyn,295,295,295,295
351,Bushwick,4,0,Brooklyn,Brooklyn,200,89,139,139
352,Bushwick,4,1,Brooklyn,Brooklyn,300,52,120,137
353,Bushwick,4,2,Brooklyn,Brooklyn,239,88,161,161
354,Bushwick,4,3,Brooklyn,Brooklyn,871,145,230,284
355,Bushwick,4,4,Brooklyn,Brooklyn,299,299,299,299
356,Bushwick,5,0,Brooklyn,Brooklyn,200,89,124,136
357,Bushwick,5,1,Brooklyn,Brooklyn,300,52,117,128
358,Bushwick,5,2,Brooklyn,Brooklyn,229,95,175,166
359,Bushwick,5,3,Brooklyn,Brooklyn,775,160,228,287
360,Bushwick,5,4,Brooklyn,Brooklyn,314,314,314,314
361,Bushwick,6,0,Brooklyn,Brooklyn,200,89,129,138
362,Bushwick,6,1,Brooklyn,Brooklyn,300,52,122,129
363,Bushwick,6,2,Brooklyn,Brooklyn,229,100,170,165
364,Bushwick,6,3,Brooklyn,Brooklyn,300,160,230,238
365,Bushwick,6,4,Brooklyn,Brooklyn,304,304,304,304
366,Bushwick,7,0,Brooklyn,Brooklyn,200,88,118,124
367,Bushwick,7,1,Brooklyn,Brooklyn,230,52,117,124
368,Bushwick,7,2,Brooklyn,Brooklyn,229,100,175,169
369,Bushwick,7,3,Brooklyn,Brooklyn,399,165,228,246
370,Bushwick,7,4,Brooklyn,Brooklyn,311,311,311,311
371,Bushwick,8,0,Brooklyn,Brooklyn,200,85,118,120
372,Bushwick,8,1,Brooklyn,Brooklyn,250,52,110,124
373,Bushwick,8,2,Brooklyn,Brooklyn,234,100,175,167
374,Bushwick,8,3,Brooklyn,Brooklyn,399,150,225,238
